tags,PT_BR,EN_US,BOAT_
locale_MENU_OPCAO1,1. JOGAR,1. PLAY,1. HOIST THE MIZZEN!
locale_MENU_OPCAO2,2. CONFIGURACOES,2. SETTINGS,2. RIGGINS
locale_MENU_OPCAO3,3. CREDITOS,3. CREDITS,3. DRUNKEN RAMBLING
locale_MENU_OPCAO4,4. SAIR,4. EXIT,4. ABANDON SHIP
locale_MENU_OPCAO9,9. Voltar,9. Return,9. BACK
locale_JOGAR_TITULO,Selecione o capitulo:,Select chapter:,SELECT VOYAGE:
locale_JOGAR_OPCAO0,0. Tutorial ,0. Tutorial ,0. TUTORIAL
locale_JOGAR_OPCAO1,1. Capitulo 1 (inicio),1. Chapter 1 (beginning),1. BABYLON
locale_JOGAR_OPCAO2,2. Capitulo 2 ,2. Chapter 2 ,2. ROME
locale_JOGAR_OPCAO3,3. Capitulo 3 (em construcao),3. Chapter 3 (under construction),3. CHINA
locale_JOGAR_OPCAO4,4. Capitulo 4 (em construcao),4. Chapter 4 (under construction),"4. NO SPOILERS, SCALLYWAG!"
locale_JOGAR_OPCAO5,9. voltar,9. return,9. SCUTTLE
locale_CREDITOS_1,Desenvolvimento e Programacao:,Coding and Development:,FINANCIAL SUPPORT:
locale_CREDITOS_2,Arte e Design:,Art and Design:,RUM SUPPLIES:
locale_CREDITOS_3,Agradecimentos Especiais: ,Special Thanks to:,SPECIAL THANKS TO:
locale_CREDITOS_FERNANDO,Fernando A. M. Dias,Fernando A. M. Dias,Me captain
locale_CREDITOS_AS11,"- Joialoxi, pelas nossas","- Joialoxi, for our",END OF LIST!
locale_CREDITOS_AS12,deliberacoes que desatolaram,deliberations that got, 
locale_CREDITOS_AS13,o jogo,the project off the ground, 
locale_CREDITOS_AS21,"- Minha mae, que pacientemente","- My mom, who patiently","- The Spanish, for"
locale_CREDITOS_AS22,assistiu eu mostrar como,watched me show her how,all the loot! Yohoho!
locale_CREDITOS_AS23,tava a cada 2 dias,"this was, every two days",Aaaarrrrgggghhhh!
locale_CREDITOS_AS31,"- Felipe Fontela, pelo apoio,","- Felipe Fontela, for the","- Me buckos, for"
locale_CREDITOS_AS32,pelas conversas e pelas,"support, talks and for the",all the chases and
locale_CREDITOS_AS33,ideias que deram caminho,ideas that paved the way,plunder
locale_CREDITOS_AS34,ao projeto,for this project, 
locale_CREDITOS_FIM1, <<< fim >>> , <<< end >>>,AVAST YE!
locale_CREDITOS_FIM2, pode ir embora, you may leave now,SCURRY!
locale_CREDITOS_FIM3,...........,..........., 
locale_CREDITOS_FIM4,nao vai embora?,youre not leaving?, 
locale_CREDITOS_FIM5,deve ter mais credito em algum lugar aqui...,there oughta be more credits sumwhere here..., 
locale_CREDITOS_FIM6,Inspiracao: Bomberman para o NES,Inspiration: Bomberman for NES, 
locale_CREDITOS_FIM7,Feito como projeto de,Created as a first semester project, 
